DayOfWeek,Hour,Minute, Action, Provisioning, Deprovisioning
6,0,10,0,1,0
6,0,20,0,1,0
6,0,30,0,1,0
6,0,40,12,0,0
6,0,50,6,0,1
6,1,0,12,0,0
6,1,10,12,0,0
6,1,20,6,0,1
6,1,30,12,0,0
6,1,40,12,0,0
6,1,50,0,1,0
6,2,0,12,0,0
6,2,10,12,0,0
6,2,20,6,0,1
6,2,30,6,0,1
6,2,40,0,1,0
6,2,50,0,1,0
6,3,0,12,0,0
6,3,10,6,0,1
6,3,20,12,0,0
6,3,30,6,0,1
6,3,40,0,1,0
6,3,50,12,0,0
6,4,0,12,0,0
6,4,10,6,0,1
6,4,20,0,1,0
6,4,30,0,1,0
6,4,40,6,0,1
6,4,50,6,0,1
6,5,0,12,0,0
6,5,10,12,0,0
6,5,20,12,0,0
6,5,30,12,0,0
6,5,40,0,1,0
6,5,50,12,0,0
6,6,0,6,0,1
6,6,10,12,0,0
6,6,20,12,0,0
6,6,30,0,1,0
6,6,40,0,1,0
6,6,50,12,0,0
6,7,0,6,0,1
6,7,10,12,0,0
6,7,20,12,0,0
6,7,30,6,0,1
6,7,40,0,1,0
6,7,50,0,1,0
6,8,0,0,1,0
6,8,10,6,0,1
6,8,20,6,0,1
6,8,30,12,0,0
6,8,40,6,0,1
6,8,50,0,1,0
6,9,0,0,1,0
6,9,10,6,0,1
6,9,20,12,0,0
6,9,30,12,0,0
6,9,40,12,0,0
6,9,50,12,0,0
6,10,0,12,0,0
6,10,10,12,0,0
6,10,20,0,1,0
6,10,30,12,0,0
6,10,40,6,0,1
6,10,50,12,0,0
6,11,0,0,1,0
6,11,10,0,1,0
6,11,20,12,0,0
6,11,30,12,0,0
6,11,40,6,0,1
6,11,50,6,0,1
6,12,0,0,1,0
6,12,10,0,1,0
6,12,20,12,0,0
6,12,30,6,0,1
6,12,40,6,0,1
6,12,50,6,0,1
6,13,0,0,1,0
6,13,10,0,1,0
6,13,20,12,0,0
6,13,30,12,0,0
6,13,40,12,0,0
6,13,50,6,0,1
6,14,0,0,1,0
6,14,10,12,0,0
6,14,20,6,0,1
6,14,30,12,0,0
6,14,40,12,0,0
6,14,50,0,1,0
6,15,0,12,0,0
6,15,10,12,0,0
6,15,20,6,0,1
6,15,30,0,1,0
6,15,40,12,0,0
6,15,50,12,0,0
6,16,0,12,0,0
6,16,10,12,0,0
6,16,20,12,0,0
6,16,30,6,0,1
6,16,40,12,0,0
6,16,50,0,1,0
6,17,0,12,0,0
6,17,10,12,0,0
6,17,20,12,0,0
6,17,30,12,0,0
6,17,40,12,0,0
6,17,50,0,1,0
6,18,0,6,0,1
6,18,10,12,0,0
6,18,20,6,0,1
6,18,30,12,0,0
6,18,40,0,1,0
6,18,50,0,1,0
6,19,0,6,0,1
6,19,10,12,0,0
6,19,20,6,0,1
6,19,30,0,1,0
6,19,40,12,0,0
6,19,50,6,0,1
6,20,0,12,0,0
6,20,10,12,0,0
6,20,20,0,1,0
6,20,30,12,0,0
6,20,40,12,0,0
6,20,50,6,0,1
6,21,0,12,0,0
6,21,10,0,1,0
6,21,20,12,0,0
6,21,30,12,0,0
6,21,40,12,0,0
6,21,50,12,0,0
6,22,0,12,0,0
6,22,10,12,0,0
6,22,20,12,0,0
6,22,30,12,0,0
6,22,40,12,0,0
6,22,50,6,0,1
6,23,0,0,1,0
6,23,10,12,0,0
6,23,20,12,0,0
6,23,30,6,0,1
6,23,40,0,1,0
6,23,50,0,1,0
7,0,0,12,0,0
