DayOfWeek,Hour,Minute, Decisions, VMs, Purchase, Tier Type, Config Type
6,0,10,1,1,1,0,2
6,0,20,1,1,1,0,2
6,0,30,1,1,1,0,2
6,0,40,0,1,1,0,2
6,0,50,-1,1,1,0,2
6,1,0,0,1,1,0,2
6,1,10,0,1,1,0,2
6,1,20,-1,1,1,0,2
6,1,30,0,1,1,0,2
6,1,40,0,1,1,0,2
6,1,50,1,1,1,0,2
6,2,0,0,1,1,0,2
6,2,10,0,1,1,0,2
6,2,20,-1,1,1,0,2
6,2,30,-1,1,1,0,2
6,2,40,1,1,1,0,2
6,2,50,1,1,1,0,2
6,3,0,0,1,1,0,2
6,3,10,-1,1,1,0,2
6,3,20,0,1,1,0,2
6,3,30,-1,1,1,0,2
6,3,40,1,1,1,0,2
6,3,50,0,1,1,0,2
6,4,0,0,1,1,0,2
6,4,10,-1,1,1,0,2
6,4,20,1,1,1,0,2
6,4,30,1,1,1,0,2
6,4,40,-1,1,1,0,2
6,4,50,-1,1,1,0,2
6,5,0,0,1,1,0,2
6,5,10,0,1,1,0,2
6,5,20,0,1,1,0,2
6,5,30,0,1,1,0,2
6,5,40,1,1,1,0,2
6,5,50,0,1,1,0,2
6,6,0,-1,1,1,0,2
6,6,10,0,1,1,0,2
6,6,20,0,1,1,0,2
6,6,30,1,1,1,0,2
6,6,40,1,1,1,0,2
6,6,50,0,1,1,0,2
6,7,0,-1,1,1,0,2
6,7,10,0,1,1,0,2
6,7,20,0,1,1,0,2
6,7,30,-1,1,1,0,2
6,7,40,1,1,1,0,2
6,7,50,1,1,1,0,2
6,8,0,1,1,1,0,2
6,8,10,-1,1,1,0,2
6,8,20,-1,1,1,0,2
6,8,30,0,1,1,0,2
6,8,40,-1,1,1,0,2
6,8,50,1,1,1,0,2
6,9,0,1,1,1,0,2
6,9,10,-1,1,1,0,2
6,9,20,0,1,1,0,2
6,9,30,0,1,1,0,2
6,9,40,0,1,1,0,2
6,9,50,0,1,1,0,2
6,10,0,0,1,1,0,2
6,10,10,0,1,1,0,2
6,10,20,1,1,1,0,2
6,10,30,0,1,1,0,2
6,10,40,-1,1,1,0,2
6,10,50,0,1,1,0,2
6,11,0,1,1,1,0,2
6,11,10,1,1,1,0,2
6,11,20,0,1,1,0,2
6,11,30,0,1,1,0,2
6,11,40,-1,1,1,0,2
6,11,50,-1,1,1,0,2
6,12,0,1,1,1,0,2
6,12,10,1,1,1,0,2
6,12,20,0,1,1,0,2
6,12,30,-1,1,1,0,2
6,12,40,-1,1,1,0,2
6,12,50,-1,1,1,0,2
6,13,0,1,1,1,0,2
6,13,10,1,1,1,0,2
6,13,20,0,1,1,0,2
6,13,30,0,1,1,0,2
6,13,40,0,1,1,0,2
6,13,50,-1,1,1,0,2
6,14,0,1,1,1,0,2
6,14,10,0,1,1,0,2
6,14,20,-1,1,1,0,2
6,14,30,0,1,1,0,2
6,14,40,0,1,1,0,2
6,14,50,1,1,1,0,2
6,15,0,0,1,1,0,2
6,15,10,0,1,1,0,2
6,15,20,-1,1,1,0,2
6,15,30,1,1,1,0,2
6,15,40,0,1,1,0,2
6,15,50,0,1,1,0,2
6,16,0,0,1,1,0,2
6,16,10,0,1,1,0,2
6,16,20,0,1,1,0,2
6,16,30,-1,1,1,0,2
6,16,40,0,1,1,0,2
6,16,50,1,1,1,0,2
6,17,0,0,1,1,0,2
6,17,10,0,1,1,0,2
6,17,20,0,1,1,0,2
6,17,30,0,1,1,0,2
6,17,40,0,1,1,0,2
6,17,50,1,1,1,0,2
6,18,0,-1,1,1,0,2
6,18,10,0,1,1,0,2
6,18,20,-1,1,1,0,2
6,18,30,0,1,1,0,2
6,18,40,1,1,1,0,2
6,18,50,1,1,1,0,2
6,19,0,-1,1,1,0,2
6,19,10,0,1,1,0,2
6,19,20,-1,1,1,0,2
6,19,30,1,1,1,0,2
6,19,40,0,1,1,0,2
6,19,50,-1,1,1,0,2
6,20,0,0,1,1,0,2
6,20,10,0,1,1,0,2
6,20,20,1,1,1,0,2
6,20,30,0,1,1,0,2
6,20,40,0,1,1,0,2
6,20,50,-1,1,1,0,2
6,21,0,0,1,1,0,2
6,21,10,1,1,1,0,2
6,21,20,0,1,1,0,2
6,21,30,0,1,1,0,2
6,21,40,0,1,1,0,2
6,21,50,0,1,1,0,2
6,22,0,0,1,1,0,2
6,22,10,0,1,1,0,2
6,22,20,0,1,1,0,2
6,22,30,0,1,1,0,2
6,22,40,0,1,1,0,2
6,22,50,-1,1,1,0,2
6,23,0,1,1,1,0,2
6,23,10,0,1,1,0,2
6,23,20,0,1,1,0,2
6,23,30,-1,1,1,0,2
6,23,40,1,1,1,0,2
6,23,50,1,1,1,0,2
7,0,0,0,1,1,0,2
